complaint_id,product,narrative
8429446,Checking or savings account,I won a lawsuit and deposited my check/ cash into my account. The bank froze my account and took it from me
12352008,Checking or savings account,"On XX/XX/XXXX a fraud number was added to my CHASE XXXX under the name of XXXX. The fraud number attempted to XXXX themselves to their number twice, both times it was denied. My chase account was the automatically locked. I called chase and once i regained my account after updating password and login info I went to my statements where i found XXXX was taken away from my account from XXXX. Fraud transaction was reported to the fraud department. A couple weeks went by and they denied my request. I then went to a nearby branch and they advised me to make a police report to reopen my case. On XX/XX/XXXX the police report was made and i submitted it to the chase the branch. On XX/XX/XXXX i called the fraud the department for an update, the case re opened and they determined i still made the transaction. I never was notified or received an email that of the XXXX fraud transaction on my account."
9692597,Checking or savings account,"Canceled my gym membership in person at the beginning of XX/XX/XXXX. I was continues to be billed through XX/XX/XXXX for XXXX a month for XXXX  months after I canceled. I requested a refund from the gym. They refused. 

On XX/XX/XXXX I filed XXXX claims with Bank of America against the XXXX unauthorized charges. 

I was advised by XXXX at Bank of America I would receive temporary credit for the XXXX transactions on XX/XX/XXXX. I only received XXXX temporary credit of {$49.00} on XX/XX/XXXX. I called Bank of America on XX/XX/XXXX and was advised to call claims department during business hours. I called Bank of America on XX/XX/XXXX spoke to the claims department who told me I needed to call the fraud department to inquire about my temporary credit for the unauthorized charges. My claim has nothing to do with fraud. I called Bank of America customer service and spoke to XXXX ( consumer deposit supervisor XXXX ). She advised me to call claims department as they would be the only ones to answer my questions. 

On XX/XX/XXXX I called Bank of America claims and was given conflicting information I was told it takes XXXX business days and then was told it takes XXXX business days by the same claims agent. 

All through this process Bank of America has given me conflicting information regarding my temporary credit. 

I have filed previous claims and was given a temporary credit the following day. 

I have previously been the victim of fraud and Bank of America has refused to return my money that I was defrauded of. 

I want my temporary credit for the charges I did not authorized."
9243574,Checking or savings account,"A company XXXX  XXXX made an unanuthorized charged to my citi bank checking account # XXXX for {$140.00} on XX/XX/2024. I called the bank to dispute the charge. The cust serv rep told me that a stop paymet was issued and that I will receive a credit for the {$140.00} in 3 days ( XX/XX/2024 ). So I waited. 
On XX/XX/XXXX I called the bank again and I was told that the credit will be posted on the account that same day durinh the day. But the credit did not show up on my account so I called the bank again on XX/XX/2024. This time I spoke with a supervisor whom explained to me that the credit requested on XX/XX/XXXX was for {$140.00} and not for {$140.00} and because that mistake ( yes XXXX ) I will have to wait until XX/XX/2024 to receive the credit. And she also placed a revoke so bankcard can't charge me any more. 

Today, XX/XX/XXXX I checked my account and still no credit for {$140.00} was posted. 
So I called the bank again. Asked for a supervisor. Waited 1 hour and 4 minutes. The supervisor didn't listen and yell at me instead. So I called again and another cust serv rep explained that no one put a dispute on the unauthorized transsaction so that's why a never got a credit XXXX so did the other supervisor lied to me? Because this is a different story. So I was transfered to another supervisor and she told me that I need to wait another 45 days XXXX And I said this is not helping."
8144382,Checking or savings account,"I filed several complaints with BofA in regards to my never receiving their debit card for my Edd benefits. Intially I was denied so I never followed up. I applied for welfare and they advised me to double check with BofA I did and they had approved XXXX claim, mind you its 2 years later. They had me refile 5 others : amounts {$19000.00}, {$9600.00}, {$1500.00}, {$1000.00} and {$300.00}. I filed these claims on XX/XX/XXXX. I was not provided any type of provisional credit until the day they completed their alleged so called investigations. XXXX XXXX  & XXXX That is when they posted all of the amounts but the larger one and the smallest. Ridiculous!! I NEVER received my card or any money back when i originally applied. If I had maybe i wouldnt have ended up living in a tent on the side of the freeway. Now to insult me like I am an XXXX and honestly they are doing the same to your company. Thinking Ill be happy w some of the money. They can with hold what is mine. They have put me through the wringer. My debit card is temporarily frozen everyday. Which means calling and verifying each transaction literally each and everyday, then there is the calls and hold times, wait times. 
Funny their documentation says they received and denied my claims on the very same. Its infuriating to be treated like an XXXX. 
In addition I still havent received the check for XXXX that they sent to the address that stole my original Edd bofa debit card. Why would you continually send things to address where I have and am telling you stole the tenants card? Strange if you ask me"
9392151,Checking or savings account,I used debit card normal on XXXX an XXXX each were declined using correct billing address.. Fraud alert showed on XXXX saying call bank of america Fraud department.. They say look at your declined transactions only option was to dispute all declined transactions that declined by bank of america. Then they say your account is unverified all info provide at XXXX California bank of america personally. .So bank just declines no reason at all an says it my fault but give no reason at all.. It's fraudulent to dispute transactions I authorized personally that were declined..So bank of america ask me to lie an dispute my purchases to red my card for none use because security alert banneds card that keep declining.. Bank of america gets paid to dispute charges an charges merchant a fee then my card gets banned XXXX want through every bank same thing happen bank forces default or closure..
10286552,Checking or savings account,"The company Self ( XXXX XXXX XXXX XXXX Lending ) set up a savings /CD account for me in 2020 so that I could establish some credit. I would have my bank account debited {$20.00} every month and then at the end of the timeframe I would get all my money back minus fees : I had 2 payments withdrawn but then my unemployment was paused for approximately 5 months until they could verify some documents. However, this company did not post anything regarding my account until 2 months ago. I discovered they sold it to another company but still they offered to close out my account and pay me back my 2 payments that I paid in. As you can see, this isnt a loan, or a credit account. Its not a purchase of merchandise. I dont actually owe them any sum of money or actually fail to pay them what they were due. They closed my account, they paid me via direct deposit to my current bank. I dont think its fair that they now in the last 2 weeks decide to post 2 late payments as if I just currently did not make 2 payments. It affects me greatly and is devastating to me when Ive worked so hard to rebuild my credit. I havent been late or missed anything! This is creating a snowball effect on my credit file."
12931093,Checking or savings account,"The say I never had any business accounts, merchant processing or payroll : XXXX checking, saving, money markets, merchant processing and payroll. 
During this time i was charged many fees, can not reconcile to see how much cause Wells Fargo has claimed i never had any accounts except my personal ones. 
Also the bank tellers would call me on Fridays Asking if I'd let them open 1 to 10 accounts under my Business, so they could make their bonuses, that was happening on a weekly basis. Customer care keeps saying if its been over 7 years and we have no record. and the account was idle in XXXX and was closed by them for none use. My XXXX old son passed away in XXXX and I numb to the world and now have gotten passed his passing and started tying up lose ends and this is as huge burden. And do believe they have deleted my account due to all the illegal fees they owe my corporation."
11839705,Checking or savings account,"I am filing a complaint against Capital One regarding the deceptive practices related to their 360 "" high yield interest '' savings accounts. Capital One misrepresented the 360 Savings account as having one of the nation 's highest interest rates, yet failed to notify accountholders about the superior rates offered by the 360 Performance Savings account. This deliberate obscurity and lack of transparency violated consumer trust and resulted in significant financial losses for many, breaching the Consumer Financial Protection Act and the Truth in Savings Act. I seek redress for the misleading practices and failure to fulfill their advertised promises."
10823581,Checking or savings account,"Hello My name is XXXX XXXX. Earlier this year my mom had opened up a new account with citi bank. I endorsed my XXXX tax refund to my mom so she could deposit and cash my check because i was unable to open a bank account around this time in my life due to extenuating circumstances. We were not aware nor were we warned or given a chance to remedy this situation before her account was closed due to "" fraud '' as stated by the banks customer service. We immediately went to the bank and explained our situation and requested some way to have this handled. We where sent around in circles first by citi banks customer service and fraud department telling us to initiate a payment trace with the XXXX. We waited the XXXX or 90 days for the XXXX. to finish the investigation only to be told that they could not send a replacement check because I had signed the check and that the XXXX. had not received the check back from Citi bank so their hands are tied. They started that we needed too go to the bank and request they send the check back and give me the address they would send the check to. I attempted this exactly as described and explained to me only to be told by the rep that my check is indeed still sitting in my mom 's closed account and they couldn't help me that I needed to contact the irs again and request a payment trace again. We are at the end of our patience and are seeking any assistance in having this situation handled as quickly as possible. My mom 's information is as follows : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX"
