complaint_id,product_official,product_predicted,match
8429446,Checking or savings account,Checking or savings account,True
12352008,Checking or savings account,Checking or savings account,True
9692597,Checking or savings account,Checking or savings account,True
9243574,Checking or savings account,Checking or savings account,True
8144382,Checking or savings account,Prepaid card,False
9392151,Checking or savings account,Checking or savings account,True
10286552,Checking or savings account,Debt or credit management,False
12931093,Checking or savings account,Checking or savings account,True
11839705,Checking or savings account,Checking or savings account,True
10823581,Checking or savings account,Checking or savings account,True
11389224,Checking or savings account,Checking or savings account,True
10174680,Checking or savings account,Prepaid card,False
11156501,Checking or savings account,Checking or savings account,True
9391633,Checking or savings account,Checking or savings account,True
12531235,Checking or savings account,Checking or savings account,True
11253530,Checking or savings account,Checking or savings account,True
10773610,Checking or savings account,Checking or savings account,True
8460483,Checking or savings account,"Money transfer, virtual currency, or money service",False
9582324,Checking or savings account,Checking or savings account,True
11804196,Checking or savings account,"Money transfer, virtual currency, or money service",False
9022790,Checking or savings account,Checking or savings account,True
9728398,Checking or savings account,Checking or savings account,True
8182062,Checking or savings account,Checking or savings account,True
9989838,Checking or savings account,Checking or savings account,True
8996386,Checking or savings account,Checking or savings account,True
8625994,Checking or savings account,Checking or savings account,True
8738416,Checking or savings account,Checking or savings account,True
11582711,Checking or savings account,Checking or savings account,True
8164604,Checking or savings account,Checking or savings account,True
9319391,Checking or savings account,"Money transfer, virtual currency, or money service",False
8576467,Checking or savings account,Checking or savings account,True
10020555,Checking or savings account,Checking or savings account,True
11941093,Checking or savings account,Checking or savings account,True
9074937,Checking or savings account,Checking or savings account,True
8924675,Checking or savings account,Checking or savings account,True
8948239,Checking or savings account,"Money transfer, virtual currency, or money service",False
12527513,Checking or savings account,Checking or savings account,True
12164259,Checking or savings account,Checking or savings account,True
9254112,Checking or savings account,Checking or savings account,True
11228419,Checking or savings account,Checking or savings account,True
8277618,Checking or savings account,Checking or savings account,True
9448607,Checking or savings account,Checking or savings account,True
9213543,Checking or savings account,Checking or savings account,True
12308921,Checking or savings account,Checking or savings account,True
11003976,Checking or savings account,Prepaid card,False
